(ml) nxshen@hsng-server:~/machine-learning/3-hw$ python pytorch_CelebA_DCGAN.py
Training start!
[1/200] - ptime: 235.49, loss_d: 0.082, loss_g: 45.477
[2/200] - ptime: 234.64, loss_d: 0.000, loss_g: 44.145
[3/200] - ptime: 234.72, loss_d: 0.314, loss_g: 53.371
[4/200] - ptime: 234.42, loss_d: 0.000, loss_g: 55.324
[5/200] - ptime: 236.64, loss_d: 0.000, loss_g: 55.324
[6/200] - ptime: 228.03, loss_d: 0.000, loss_g: 55.278
[7/200] - ptime: 237.56, loss_d: 0.000, loss_g: 55.286
[8/200] - ptime: 239.05, loss_d: 0.000, loss_g: 55.275
[9/200] - ptime: 239.60, loss_d: 0.000, loss_g: 55.278
[10/200] - ptime: 239.82, loss_d: 0.000, loss_g: 55.262
learning rate change!
[11/200] - ptime: 239.77, loss_d: 0.000, loss_g: 55.234
[12/200] - ptime: 239.78, loss_d: 0.000, loss_g: 55.254
[13/200] - ptime: 239.82, loss_d: 0.000, loss_g: 55.258
[14/200] - ptime: 239.80, loss_d: 0.000, loss_g: 55.256
[15/200] - ptime: 239.88, loss_d: 0.000, loss_g: 55.235
learning rate change!
[16/200] - ptime: 239.95, loss_d: 0.000, loss_g: 55.243
[17/200] - ptime: 234.02, loss_d: 0.000, loss_g: 55.234
[18/200] - ptime: 239.87, loss_d: 0.000, loss_g: 55.244
[19/200] - ptime: 240.04, loss_d: 0.000, loss_g: 55.224
[20/200] - ptime: 240.04, loss_d: 0.000, loss_g: 55.222
[21/200] - ptime: 241.91, loss_d: 0.000, loss_g: 55.208
[22/200] - ptime: 239.91, loss_d: 0.000, loss_g: 55.220
[23/200] - ptime: 240.01, loss_d: 0.000, loss_g: 55.247
[24/200] - ptime: 239.87, loss_d: 0.000, loss_g: 55.237
[25/200] - ptime: 239.95, loss_d: 0.000, loss_g: 55.234
[26/200] - ptime: 240.06, loss_d: 0.000, loss_g: 55.236
[27/200] - ptime: 239.95, loss_d: 0.000, loss_g: 55.248
[28/200] - ptime: 239.78, loss_d: 0.000, loss_g: 55.236
[29/200] - ptime: 239.60, loss_d: 0.000, loss_g: 55.235
[30/200] - ptime: 234.17, loss_d: 0.000, loss_g: 55.240
[31/200] - ptime: 239.58, loss_d: 0.000, loss_g: 55.250
[32/200] - ptime: 239.63, loss_d: 0.000, loss_g: 55.224
[33/200] - ptime: 239.73, loss_d: 0.000, loss_g: 55.246
[34/200] - ptime: 239.55, loss_d: 0.000, loss_g: 55.229
[35/200] - ptime: 239.64, loss_d: 0.000, loss_g: 55.229
[36/200] - ptime: 239.62, loss_d: 0.000, loss_g: 55.241
[37/200] - ptime: 241.13, loss_d: 0.000, loss_g: 55.233
[38/200] - ptime: 241.66, loss_d: 0.000, loss_g: 55.226
[39/200] - ptime: 239.79, loss_d: 0.000, loss_g: 55.240
[40/200] - ptime: 239.69, loss_d: 0.000, loss_g: 55.218
[41/200] - ptime: 239.70, loss_d: 0.000, loss_g: 55.225
[42/200] - ptime: 239.63, loss_d: 0.000, loss_g: 55.233
[43/200] - ptime: 239.63, loss_d: 0.000, loss_g: 55.227
[44/200] - ptime: 239.73, loss_d: 0.000, loss_g: 55.197
[45/200] - ptime: 233.28, loss_d: 0.000, loss_g: 55.231
[46/200] - ptime: 239.43, loss_d: 0.000, loss_g: 55.227
[47/200] - ptime: 239.54, loss_d: 0.000, loss_g: 55.200
[48/200] - ptime: 239.49, loss_d: 0.000, loss_g: 55.220
[49/200] - ptime: 239.67, loss_d: 0.000, loss_g: 55.226
[50/200] - ptime: 239.47, loss_d: 0.000, loss_g: 55.222
[51/200] - ptime: 239.56, loss_d: 0.000, loss_g: 55.220
[52/200] - ptime: 239.62, loss_d: 0.000, loss_g: 55.205
[53/200] - ptime: 239.68, loss_d: 0.000, loss_g: 55.183
[54/200] - ptime: 241.59, loss_d: 0.000, loss_g: 55.183
[55/200] - ptime: 239.57, loss_d: 0.000, loss_g: 55.190
[56/200] - ptime: 239.70, loss_d: 0.000, loss_g: 55.190
[57/200] - ptime: 239.69, loss_d: 0.000, loss_g: 55.179
[58/200] - ptime: 239.75, loss_d: 0.000, loss_g: 55.184
[59/200] - ptime: 239.78, loss_d: 0.000, loss_g: 55.191
[60/200] - ptime: 239.65, loss_d: 0.000, loss_g: 55.173
[61/200] - ptime: 239.55, loss_d: 0.000, loss_g: 55.142
[62/200] - ptime: 232.13, loss_d: 0.000, loss_g: 55.166
[63/200] - ptime: 239.51, loss_d: 0.000, loss_g: 55.153
[64/200] - ptime: 239.59, loss_d: 0.000, loss_g: 55.150
[65/200] - ptime: 239.51, loss_d: 0.000, loss_g: 55.131
[66/200] - ptime: 239.45, loss_d: 0.000, loss_g: 55.142
[67/200] - ptime: 239.54, loss_d: 0.000, loss_g: 55.138
[68/200] - ptime: 239.60, loss_d: 0.000, loss_g: 55.129
[69/200] - ptime: 239.62, loss_d: 0.000, loss_g: 55.111
[70/200] - ptime: 241.50, loss_d: 0.000, loss_g: 55.113
[71/200] - ptime: 241.64, loss_d: 0.000, loss_g: 55.070
[72/200] - ptime: 239.47, loss_d: 0.000, loss_g: 55.051
[73/200] - ptime: 239.59, loss_d: 0.000, loss_g: 55.070
[74/200] - ptime: 239.34, loss_d: 0.000, loss_g: 55.052
[75/200] - ptime: 239.57, loss_d: 0.000, loss_g: 55.061
[76/200] - ptime: 239.45, loss_d: 0.000, loss_g: 55.048
[77/200] - ptime: 239.45, loss_d: 0.000, loss_g: 55.004
[78/200] - ptime: 239.53, loss_d: 0.000, loss_g: 55.013
[79/200] - ptime: 239.54, loss_d: 0.000, loss_g: 54.998
[80/200] - ptime: 230.80, loss_d: 0.000, loss_g: 54.988
[81/200] - ptime: 239.31, loss_d: 0.000, loss_g: 54.988
[82/200] - ptime: 239.20, loss_d: 0.000, loss_g: 54.954
[83/200] - ptime: 239.49, loss_d: 0.000, loss_g: 54.921
[84/200] - ptime: 239.37, loss_d: 0.000, loss_g: 54.953
[85/200] - ptime: 239.44, loss_d: 0.000, loss_g: 54.887
[86/200] - ptime: 239.41, loss_d: 0.000, loss_g: 54.870
[87/200] - ptime: 241.38, loss_d: 0.000, loss_g: 54.838
[88/200] - ptime: 239.33, loss_d: 0.000, loss_g: 54.817
[89/200] - ptime: 239.13, loss_d: 0.000, loss_g: 54.809
[90/200] - ptime: 239.23, loss_d: 0.000, loss_g: 54.771
[91/200] - ptime: 239.24, loss_d: 0.000, loss_g: 54.729
[92/200] - ptime: 239.31, loss_d: 0.000, loss_g: 54.683
[93/200] - ptime: 239.26, loss_d: 0.000, loss_g: 54.630
[94/200] - ptime: 239.32, loss_d: 0.000, loss_g: 54.550
[95/200] - ptime: 239.27, loss_d: 0.000, loss_g: 54.452
[96/200] - ptime: 239.09, loss_d: 0.000, loss_g: 54.367
[97/200] - ptime: 239.24, loss_d: 0.000, loss_g: 54.293
[98/200] - ptime: 239.50, loss_d: 0.000, loss_g: 54.091
[99/200] - ptime: 239.22, loss_d: 0.000, loss_g: 53.824
[100/200] - ptime: 239.33, loss_d: 0.000, loss_g: 53.511
[101/200] - ptime: 239.35, loss_d: 0.000, loss_g: 52.908
[102/200] - ptime: 229.66, loss_d: 0.026, loss_g: 39.982
[103/200] - ptime: 241.99, loss_d: 0.126, loss_g: 6.029
[104/200] - ptime: 239.87, loss_d: 0.116, loss_g: 5.382
[105/200] - ptime: 240.05, loss_d: 0.087, loss_g: 5.446
[106/200] - ptime: 240.08, loss_d: 0.066, loss_g: 5.583
[107/200] - ptime: 239.87, loss_d: 0.050, loss_g: 5.645
[108/200] - ptime: 239.90, loss_d: 0.041, loss_g: 5.680
[109/200] - ptime: 240.01, loss_d: 0.037, loss_g: 5.747
[110/200] - ptime: 239.89, loss_d: 0.028, loss_g: 5.805
[111/200] - ptime: 239.81, loss_d: 0.024, loss_g: 5.999
[112/200] - ptime: 239.96, loss_d: 0.019, loss_g: 6.031
[113/200] - ptime: 240.03, loss_d: 0.016, loss_g: 6.013
[114/200] - ptime: 239.93, loss_d: 0.016, loss_g: 6.148
[115/200] - ptime: 239.91, loss_d: 0.011, loss_g: 6.369
[116/200] - ptime: 239.75, loss_d: 0.010, loss_g: 6.395
[117/200] - ptime: 239.88, loss_d: 0.011, loss_g: 6.412
[118/200] - ptime: 239.75, loss_d: 0.010, loss_g: 6.491
[119/200] - ptime: 239.70, loss_d: 0.008, loss_g: 6.643
[120/200] - ptime: 242.07, loss_d: 0.007, loss_g: 6.878
[121/200] - ptime: 240.17, loss_d: 0.007, loss_g: 6.629
[122/200] - ptime: 239.80, loss_d: 0.008, loss_g: 6.521
[123/200] - ptime: 239.73, loss_d: 0.007, loss_g: 6.778
[124/200] - ptime: 239.93, loss_d: 0.006, loss_g: 6.979
[125/200] - ptime: 239.79, loss_d: 0.008, loss_g: 6.764
[126/200] - ptime: 228.54, loss_d: 0.007, loss_g: 6.697
[127/200] - ptime: 239.67, loss_d: 0.007, loss_g: 6.761
[128/200] - ptime: 234.98, loss_d: 0.007, loss_g: 6.677
[129/200] - ptime: 234.67, loss_d: 0.009, loss_g: 6.676
[130/200] - ptime: 234.59, loss_d: 0.010, loss_g: 6.750
[131/200] - ptime: 238.24, loss_d: 0.009, loss_g: 6.737
[132/200] - ptime: 239.98, loss_d: 0.010, loss_g: 6.314
[133/200] - ptime: 239.90, loss_d: 0.008, loss_g: 6.495
[134/200] - ptime: 240.01, loss_d: 0.009, loss_g: 6.534
[135/200] - ptime: 237.20, loss_d: 0.008, loss_g: 6.814
[136/200] - ptime: 112.27, loss_d: 0.010, loss_g: 6.448
[137/200] - ptime: 112.39, loss_d: 0.009, loss_g: 6.478
[138/200] - ptime: 112.41, loss_d: 0.009, loss_g: 6.562
[139/200] - ptime: 112.47, loss_d: 0.009, loss_g: 6.609
[140/200] - ptime: 112.45, loss_d: 0.010, loss_g: 6.547
[141/200] - ptime: 112.42, loss_d: 0.010, loss_g: 6.596
[142/200] - ptime: 112.35, loss_d: 0.013, loss_g: 6.283
[143/200] - ptime: 112.32, loss_d: 0.015, loss_g: 6.328
[144/200] - ptime: 112.33, loss_d: 0.019, loss_g: 6.014
[145/200] - ptime: 112.35, loss_d: 0.024, loss_g: 5.731
[146/200] - ptime: 112.35, loss_d: 0.020, loss_g: 5.827
[147/200] - ptime: 112.42, loss_d: 0.027, loss_g: 5.672
[148/200] - ptime: 112.35, loss_d: 0.025, loss_g: 5.710
[149/200] - ptime: 112.45, loss_d: 0.032, loss_g: 5.557
[150/200] - ptime: 112.43, loss_d: 0.028, loss_g: 5.608
